checkpoint,eval_model,jpeg_quality,image,prompt,psnr_immunized,ssim_imm_orig,ssim_clean_edit,ssim_imm_edit,disrupted
sd15_only,sd15,70,image_110.png,A person in a gym sauna,38.719,0.9665,0.5197,0.5274,0
sd15_only,sd15,70,image_110.png,A person in a glass factory,38.719,0.9665,0.6647,0.6173,0
sd15_only,sd15,none,image_115.png,A person in a tram stop,86.178,1.0,0.5855,0.579,0
sd15_only,sd15,none,image_115.png,A person in a fish market,86.178,1.0,0.5499,0.533,0
sd15_only,sd15,75,image_115.png,A person in a tram stop,36.618,0.959,0.5855,0.5587,0
sd15_only,sd15,75,image_115.png,A person in a fish market,36.618,0.959,0.5499,0.5406,0
sd15_only,sd15,70,image_115.png,A person in a tram stop,35.864,0.9532,0.5855,0.5567,0
sd15_only,sd15,70,image_115.png,A person in a fish market,35.864,0.9532,0.5499,0.5205,0
sd15_only,sd15,none,image_121.png,A person in a basement,88.546,1.0,0.5976,0.5948,0
sd15_only,sd15,none,image_121.png,A person in a dormitory,88.546,1.0,0.6068,0.5545,1
sd15_only,sd15,75,image_121.png,A person in a basement,39.151,0.968,0.5976,0.5836,0
sd15_only,sd15,75,image_121.png,A person in a dormitory,39.151,0.968,0.6068,0.6664,0
sd15_only,sd15,70,image_121.png,A person in a basement,38.559,0.964,0.5976,0.6196,0
sd15_only,sd15,70,image_121.png,A person in a dormitory,38.559,0.964,0.6068,0.6112,0
sd15_only,sd15,none,image_129.png,A person in a tech startup,86.221,1.0,0.6143,0.613,0
sd15_only,sd15,none,image_129.png,A person in a brewery tour,86.221,1.0,0.6105,0.6629,0
sd15_only,sd15,75,image_129.png,A person in a tech startup,37.872,0.9747,0.6143,0.6095,0
sd15_only,sd15,75,image_129.png,A person in a brewery tour,37.872,0.9747,0.6105,0.6569,0
sd15_only,sd15,70,image_129.png,A person in a tech startup,37.154,0.9712,0.6143,0.6151,0
sd15_only,sd15,70,image_129.png,A person in a brewery tour,37.154,0.9712,0.6105,0.6424,0
sd15_only,sd15,none,image_133.png,A person in a laundry room,81.012,1.0,0.297,0.2905,0
sd15_only,sd15,none,image_133.png,A person in a tech startup,81.012,1.0,0.2871,0.3085,0
sd15_only,sd15,75,image_133.png,A person in a laundry room,34.986,0.962,0.297,0.2971,0
sd15_only,sd15,75,image_133.png,A person in a tech startup,34.986,0.962,0.2871,0.3017,0
sd15_only,sd15,70,image_133.png,A person in a laundry room,34.354,0.9569,0.297,0.2912,0
sd15_only,sd15,70,image_133.png,A person in a tech startup,34.354,0.9569,0.2871,0.3193,0
sd15_only,sd15,none,image_135.png,A person in a music studio,85.55,1.0,0.5368,0.5212,0
