checkpoint,image,prompt,purify_strength,psnr_immunized,psnr_purified,ssim_purified_vs_orig,ssim_clean_edit,ssim_direct_edit,ssim_purified_edit,ssim_purified_clean_edit,direct_disrupted,purified_disrupted,purification_control_disrupted
sd15_only,image_115.png,A person in a fish market,0.3,30.55,28.803,0.9356,0.6261,0.5973,0.5939,0.6215,0,0,0
sd15_only,image_115.png,A person in a tram stop,0.5,30.55,20.871,0.6579,0.6323,0.5873,0.4961,0.5089,0,1,1
sd15_only,image_115.png,A person in a fish market,0.5,30.55,20.871,0.6579,0.6261,0.5973,0.4966,0.4975,0,1,1
sd15_only,image_115.png,A person in a tram stop,0.7,30.55,21.07,0.6609,0.6323,0.5873,0.4777,0.4917,0,1,1
sd15_only,image_115.png,A person in a fish market,0.7,30.55,21.07,0.6609,0.6261,0.5973,0.5037,0.5216,0,1,1
sd15_only,image_121.png,A person in a basement,0.3,28.631,28.578,0.9308,0.7171,0.6608,0.656,0.7219,1,1,0
sd15_only,image_121.png,A person in a dormitory,0.3,28.631,28.578,0.9308,0.693,0.6785,0.6456,0.7077,0,0,0
sd15_only,image_121.png,A person in a basement,0.5,28.631,23.259,0.7161,0.7171,0.6608,0.5835,0.5931,1,1,1
sd15_only,image_121.png,A person in a dormitory,0.5,28.631,23.259,0.7161,0.693,0.6785,0.5754,0.59,0,1,1
sd15_only,image_121.png,A person in a basement,0.7,28.631,23.361,0.7179,0.7171,0.6608,0.585,0.5821,1,1,1
sd15_only,image_121.png,A person in a dormitory,0.7,28.631,23.361,0.7179,0.693,0.6785,0.5789,0.5839,0,1,1
sd15_only,image_129.png,A person in a tech startup,0.3,38.104,35.298,0.9823,0.6859,0.6718,0.6882,0.6865,0,0,0
sd15_only,image_129.png,A person in a brewery tour,0.3,38.104,35.298,0.9823,0.7145,0.6989,0.696,0.7046,0,0,0
sd15_only,image_129.png,A person in a tech startup,0.5,38.104,23.829,0.7855,0.6859,0.6718,0.6569,0.6762,0,0,0
sd15_only,image_129.png,A person in a brewery tour,0.5,38.104,23.829,0.7855,0.7145,0.6989,0.6608,0.6617,0,1,1
sd15_only,image_129.png,A person in a tech startup,0.7,38.104,24.077,0.7965,0.6859,0.6718,0.6615,0.6675,0,0,0
sd15_only,image_129.png,A person in a brewery tour,0.7,38.104,24.077,0.7965,0.7145,0.6989,0.6496,0.6435,0,1,1
sd15_only,image_133.png,A person in a laundry room,0.3,38.171,32.554,0.9585,0.3846,0.4086,0.3738,0.401,0,0,0
sd15_only,image_133.png,A person in a tech startup,0.3,38.171,32.554,0.9585,0.3941,0.4097,0.3668,0.4034,0,0,0
sd15_only,image_133.png,A person in a laundry room,0.5,38.171,19.963,0.4373,0.3846,0.4086,0.2866,0.2718,0,1,1
sd15_only,image_133.png,A person in a tech startup,0.5,38.171,19.963,0.4373,0.3941,0.4097,0.2767,0.2648,0,1,1
sd15_only,image_133.png,A person in a laundry room,0.7,38.171,19.72,0.429,0.3846,0.4086,0.2756,0.2755,0,1,1
sd15_only,image_133.png,A person in a tech startup,0.7,38.171,19.72,0.429,0.3941,0.4097,0.2775,0.2805,0,1,1
flux_trained,image_1.png,A person in a weekend market,0.3,29.939,29.282,0.9624,0.5454,0.5194,0.5237,0.5414,0,0,0
flux_trained,image_1.png,A person in a police evidence room,0.3,29.939,29.282,0.9624,0.5243,0.5178,0.5279,0.5389,0,0,0
flux_trained,image_1.png,A person in a weekend market,0.5,29.939,22.553,0.6067,0.5454,0.5194,0.4325,0.4517,0,1,1
flux_trained,image_1.png,A person in a police evidence room,0.5,29.939,22.553,0.6067,0.5243,0.5178,0.4371,0.4614,0,1,1
flux_trained,image_1.png,A person in a weekend market,0.7,29.939,22.757,0.617,0.5454,0.5194,0.4529,0.4613,0,1,1
flux_trained,image_1.png,A person in a police evidence room,0.7,29.939,22.757,0.617,0.5243,0.5178,0.4376,0.4623,0,1,1
flux_trained,image_3.png,A person in a weekend market,0.3,31.311,30.391,0.9292,0.5328,0.475,0.4514,0.5119,1,1,0
flux_trained,image_3.png,A person in a TV newsroom,0.3,31.311,30.391,0.9292,0.5122,0.4655,0.4421,0.4944,0,1,0
flux_trained,image_3.png,A person in a weekend market,0.5,31.311,22.127,0.6067,0.5328,0.475,0.378,0.3999,1,1,1
flux_trained,image_3.png,A person in a TV newsroom,0.5,31.311,22.127,0.6067,0.5122,0.4655,0.4015,0.39,0,1,1
flux_trained,image_3.png,A person in a weekend market,0.7,31.311,22.08,0.6085,0.5328,0.475,0.3753,0.3992,1,1,1
