image,prompt,condition,psnr_immunized,ssim_immunized,ssim_clean_edit,ssim_imm_edit,disrupted
image_67.png,A person in a pet festival,no_overlap,28.604,0.9441,0.1692,0.1885,0
image_67.png,A person in a butcher’s shop,25pct_overlap,27.567,0.9317,0.2338,0.1807,1
image_67.png,A person in a pet festival,25pct_overlap,27.567,0.9317,0.1692,0.1807,0
image_67.png,A person in a butcher’s shop,50pct_overlap,27.543,0.9463,0.2338,0.1696,1
image_67.png,A person in a pet festival,50pct_overlap,27.543,0.9463,0.1692,0.1649,0
image_67.png,A person in a butcher’s shop,baseline_512,26.972,0.9255,0.2338,0.1888,0
image_67.png,A person in a pet festival,baseline_512,26.972,0.9255,0.1692,0.1735,0
image_73.png,A person in a locker room,no_overlap,28.908,0.9611,0.2498,0.1627,1
image_73.png,A person in a street market,no_overlap,28.908,0.9611,0.2327,0.2027,0
image_73.png,A person in a locker room,25pct_overlap,27.633,0.9493,0.2498,0.1728,1
image_73.png,A person in a street market,25pct_overlap,27.633,0.9493,0.2327,0.182,1
image_73.png,A person in a locker room,50pct_overlap,27.272,0.9527,0.2498,0.1976,1
image_73.png,A person in a street market,50pct_overlap,27.272,0.9527,0.2327,0.1658,1
image_73.png,A person in a locker room,baseline_512,29.305,0.9699,0.2498,0.225,0
image_73.png,A person in a street market,baseline_512,29.305,0.9699,0.2327,0.1904,0
image_80.png,A person in a hot dog stand,no_overlap,28.686,0.9413,0.2694,0.1757,1
image_80.png,A person in a bridal fitting room,no_overlap,28.686,0.9413,0.1095,0.159,0
image_80.png,A person in a hot dog stand,25pct_overlap,27.841,0.9272,0.2694,0.2085,1
image_80.png,A person in a bridal fitting room,25pct_overlap,27.841,0.9272,0.1095,0.1237,0
image_80.png,A person in a hot dog stand,50pct_overlap,28.026,0.9269,0.2694,0.1831,1
image_80.png,A person in a bridal fitting room,50pct_overlap,28.026,0.9269,0.1095,0.1451,0
image_80.png,A person in a hot dog stand,baseline_512,27.964,0.9332,0.2694,0.2333,0
image_80.png,A person in a bridal fitting room,baseline_512,27.964,0.9332,0.1095,0.1625,0
image_82.png,A person in a beach resort,no_overlap,32.683,0.9776,0.0749,0.181,0
image_82.png,A person in a transit station,no_overlap,32.683,0.9776,0.2597,0.0727,1
image_82.png,A person in a beach resort,25pct_overlap,27.887,0.9529,0.0749,0.0733,0
image_82.png,A person in a transit station,25pct_overlap,27.887,0.9529,0.2597,0.1424,1
image_82.png,A person in a beach resort,50pct_overlap,28.84,0.959,0.0749,0.173,0
image_82.png,A person in a transit station,50pct_overlap,28.84,0.959,0.2597,0.0764,1
image_82.png,A person in a beach resort,baseline_512,36.735,0.9886,0.0749,0.1606,0
image_82.png,A person in a transit station,baseline_512,36.735,0.9886,0.2597,0.1567,1
image_93.png,A person in a motel room,no_overlap,27.926,0.9462,0.1844,0.2495,0
image_93.png,A person in a tech launch event,no_overlap,27.926,0.9462,0.2383,0.268,0
image_93.png,A person in a motel room,25pct_overlap,27.897,0.9378,0.1844,0.2442,0
image_93.png,A person in a tech launch event,25pct_overlap,27.897,0.9378,0.2383,0.1945,0
image_93.png,A person in a motel room,50pct_overlap,27.247,0.9261,0.1844,0.1758,0
image_93.png,A person in a tech launch event,50pct_overlap,27.247,0.9261,0.2383,0.1835,1
image_93.png,A person in a motel room,baseline_512,32.244,0.9682,0.1844,0.2041,0
image_93.png,A person in a tech launch event,baseline_512,32.244,0.9682,0.2383,0.1997,0
image_94.png,A person in a computer lab,no_overlap,32.994,0.9738,0.3458,0.3262,0
image_94.png,A person in a lobby,no_overlap,32.994,0.9738,0.2898,0.216,1
image_94.png,A person in a computer lab,25pct_overlap,28.781,0.9482,0.3458,0.1954,1
image_94.png,A person in a lobby,25pct_overlap,28.781,0.9482,0.2898,0.1464,1
image_94.png,A person in a computer lab,50pct_overlap,28.846,0.9419,0.3458,0.2393,1
image_94.png,A person in a lobby,50pct_overlap,28.846,0.9419,0.2898,0.2851,0
